"screen","engine","variant","screenshot","gap","error","ACCESS-008","TOUCH-003","INPUT-010","INPUT-006 / ACCESS-003","ACTION-007 / ACTION-008","LAYOUT-013 / LAYOUT-014","DATA-003/004 · LAYOUT-003","FEEDBACK-011"
"S-06","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-06.png","","","PASS","NA","NA","NA","NA","PASS","PASS","NA"
"S-06","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-06.png","","","PASS","NA","NA","NA","NA","PASS","PASS","NA"
"S-06","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-06.png","","","PASS","NA","NA","NA","NA","PASS","PASS","NA"
"S-06","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-06.png","","","PASS","NA","NA","NA","NA","PASS","PASS","NA"
"S-07","chromium","390x844-light","screenshots/chromium/390x844-light/S-07.png","locator.waitFor: Timeout 1000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-07","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-07.png","locator.waitFor: Timeout 1000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-07","chromium","844x390-light","screenshots/chromium/844x390-light/S-07.png","locator.waitFor: Timeout 1000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-07","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-07.png","locator.waitFor: Timeout 1000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-07","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-07.png","locator.waitFor: Timeout 1000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-07","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-07.png","locator.waitFor: Timeout 1000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-07","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-07.png","locator.waitFor: Timeout 1000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-07","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-07.png","locator.waitFor: Timeout 1000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-08","chromium","390x844-light","screenshots/chromium/390x844-light/S-08.png","","","U","PASS","NA","NA","NA","U","PASS","NA"
"S-08","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-08.png","","","U","PASS","NA","NA","NA","U","PASS","NA"
"S-08","chromium","844x390-light","screenshots/chromium/844x390-light/S-08.png","","","U","PASS","NA","NA","NA","FAIL","PASS","NA"
"S-08","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-08.png","","","U","PASS","NA","NA","NA","FAIL","PASS","NA"
"S-08","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-08.png","","","U","PASS","NA","NA","NA","PASS","PASS","NA"
"S-08","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-08.png","","","U","PASS","NA","NA","NA","PASS","PASS","NA"
"S-08","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-08.png","","","U","PASS","NA","NA","NA","PASS","PASS","NA"
"S-08","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-08.png","","","U","PASS","NA","NA","NA","PASS","PASS","NA"
"S-09","chromium","390x844-light","screenshots/chromium/390x844-light/S-09.png","","","U","PASS","NA","NA","NA","U","PASS","NA"
"S-09","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-09.png","","","U","PASS","NA","NA","NA","U","PASS","NA"
"S-09","chromium","844x390-light","screenshots/chromium/844x390-light/S-09.png","","","U","PASS","NA","NA","NA","FAIL","PASS","NA"
"S-09","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-09.png","","","U","PASS","NA","NA","NA","FAIL","PASS","NA"
"S-09","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-09.png","","","U","PASS","NA","NA","NA","PASS","PASS","NA"
"S-09","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-09.png","","","U","PASS","NA","NA","NA","PASS","PASS","NA"
"S-09","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-09.png","","","U","PASS","NA","NA","NA","PASS","PASS","NA"
"S-09","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-09.png","","","U","PASS","NA","NA","NA","PASS","PASS","NA"
"S-10","chromium","390x844-light","screenshots/chromium/390x844-light/S-10.png","","","PASS","FAIL","NA","FAIL","NA","PASS","NA","PASS"
"S-10","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-10.png","","","PASS","FAIL","NA","FAIL","NA","PASS","NA","PASS"
"S-10","chromium","844x390-light","screenshots/chromium/844x390-light/S-10.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","NA","PASS"
"S-10","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-10.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","NA","PASS"
"S-10","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-10.png","","","PASS","FAIL","NA","FAIL","NA","PASS","NA","PASS"
"S-10","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-10.png","","","PASS","FAIL","NA","FAIL","NA","PASS","NA","PASS"
"S-10","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-10.png","","","PASS","FAIL","NA","FAIL","NA","PASS","NA","PASS"
"S-10","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-10.png","","","PASS","FAIL","NA","FAIL","NA","PASS","NA","PASS"
"S-11","chromium","390x844-light","screenshots/chromium/390x844-light/S-11.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-11","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-11.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-11","chromium","844x390-light","screenshots/chromium/844x390-light/S-11.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","PASS"
"S-11","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-11.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","PASS"
"S-11","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-11.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-11","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-11.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-11","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-11.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-11","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-11.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-12","chromium","390x844-light","screenshots/chromium/390x844-light/S-12.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-12","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-12.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-12","chromium","844x390-light","screenshots/chromium/844x390-light/S-12.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","PASS"
"S-12","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-12.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","PASS"
"S-12","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-12.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-12","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-12.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-12","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-12.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-12","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-12.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","PASS"
"S-13","chromium","390x844-light","screenshots/chromium/390x844-light/S-13.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-13","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-13.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-13","chromium","844x390-light","screenshots/chromium/844x390-light/S-13.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","NA"
"S-13","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-13.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","NA"
"S-13","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-13.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-13","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-13.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-13","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-13.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-13","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-13.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-14","chromium","390x844-light","screenshots/chromium/390x844-light/S-14.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-14","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-14.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-14","chromium","844x390-light","screenshots/chromium/844x390-light/S-14.png","","","PASS","PASS","NA","NA","NA","FAIL","NA","NA"
"S-14","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-14.png","","","PASS","PASS","NA","NA","NA","FAIL","NA","NA"
"S-14","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-14.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-14","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-14.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-14","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-14.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-14","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-14.png","","","PASS","PASS","NA","NA","NA","PASS","NA","NA"
"S-15","chromium","390x844-light","screenshots/chromium/390x844-light/S-15.png","locator.waitFor: Timeout 4000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-15","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-15.png","locator.waitFor: Timeout 4000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-15","chromium","844x390-light","screenshots/chromium/844x390-light/S-15.png","locator.waitFor: Timeout 4000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-15","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-15.png","locator.waitFor: Timeout 4000ms exceeded.","","U","U","U","U","U","U","U","U"
